sequence,method,coverage,coverage_error,quantile,median_log_6d_volume,mean_log_6d_volume,target_coverage,n_fit,n_calibration,n_test,covariance_frame,body_point
OV_V1_01_easy,OpenVINS covariance,0.7017543859649122,-0.19824561403508778,73.78668224150125,-0.4017240910000517,-0.3101968073290259,0.9,811,812,1083,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,Empirical full 6D,0.6989843028624192,-0.20101569713758083,5.549358575708096,-16.352779592204094,-16.35277959220409,0.9,811,812,1083,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,Independent t/r blocks,0.4164358264081256,-0.4835641735918744,4.296695416657485,-17.447949274092224,-17.447949274092224,0.9,811,812,1083,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_01_easy,Independent axis scales,0.5069252077562327,-0.3930747922437673,3.1866579716760817,-18.50970944470344,-18.509709444703443,0.9,811,812,1083,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,OpenVINS covariance,0.7898193760262726,-0.11018062397372741,15.181591919336169,-9.94680177952623,-9.931250643214533,0.9,456,457,609,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,Empirical full 6D,0.8472906403940886,-0.05270935960591139,5.591186979525611,-15.543854592178395,-15.543854592178397,0.9,456,457,609,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,Independent t/r blocks,0.39080459770114945,-0.5091954022988505,5.048822635258198,-15.774917849537397,-15.774917849537397,0.9,456,457,609,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_02_medium,Independent axis scales,0.45320197044334976,-0.44679802955665027,4.8279255597700725,-15.243641732797663,-15.243641732797668,0.9,456,457,609,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,OpenVINS covariance,1.0,0.09999999999999998,58.9168937634057,-1.3249616639857447,-1.5394376467253261,0.9,568,569,758,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,Empirical full 6D,0.3641160949868074,-0.5358839050131926,5.390240701905258,-12.44305834108346,-12.443058341083459,0.9,568,569,758,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,Independent t/r blocks,0.31266490765171506,-0.587335092348285,4.774913409676723,-12.575409008701415,-12.575409008701413,0.9,568,569,758,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V1_03_difficult,Independent axis scales,0.45646437994722955,-0.4435356200527705,3.1043845379833495,-14.4197776955579,-14.419777695557901,0.9,568,569,758,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,OpenVINS covariance,0.6111111111111112,-0.28888888888888886,58.39742985314229,-1.7507226528964832,-1.6926808640650042,0.9,621,621,828,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,Empirical full 6D,0.10628019323671498,-0.793719806763285,8.143804846795767,-12.416945165625869,-12.416945165625867,0.9,621,621,828,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,Independent t/r blocks,1.0,0.09999999999999998,4.749841386570359,-14.30693847756645,-14.306938477566455,0.9,621,621,828,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_01_easy,Independent axis scales,0.7717391304347826,-0.12826086956521743,4.900735302271515,-13.407677817525766,-13.407677817525766,0.9,621,621,828,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,OpenVINS covariance,0.82,-0.08000000000000007,48.55025339267559,-2.9302505439592057,-2.9513645998106237,0.9,674,675,900,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,Empirical full 6D,0.08444444444444445,-0.8155555555555556,3.6334247541206404,-18.09551218943531,-18.09551218943531,0.9,674,675,900,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,Independent t/r blocks,0.2311111111111111,-0.6688888888888889,3.5503066423788474,-17.537488935067756,-17.537488935067756,0.9,674,675,900,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_02_medium,Independent axis scales,0.06666666666666667,-0.8333333333333334,3.079846003576984,-17.73982355791832,-17.739823557918324,0.9,674,675,900,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,OpenVINS covariance,0.7635327635327636,-0.13646723646723646,36.808810551263825,-4.073443863164822,-4.05775356425116,0.9,526,527,702,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,Empirical full 6D,0.4700854700854701,-0.42991452991452994,8.73027778434989,-11.564137448424995,-11.564137448424999,0.9,526,527,702,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,Independent t/r blocks,0.27635327635327633,-0.6236467236467237,6.803377522569733,-11.719933840347203,-11.719933840347204,0.9,526,527,702,position_world_rotation_body,"[3.0, 0.0, 0.0]"
OV_V2_03_difficult,Independent axis scales,0.24786324786324787,-0.6521367521367522,6.645263417355867,-11.52458246500904,-11.524582465009042,0.9,526,527,702,position_world_rotation_body,"[3.0, 0.0, 0.0]"
