protocol,fold_id,test_environment,fit_trajectories,calibration_trajectories,test_trajectory,covariance_input,method,agaci_aggregation,alpha,target_coverage,n_calibration,n_test,coverage,absolute_coverage_gap,median_log_6d_volume,mean_log_6d_volume,median_log_task_volume_m3,mean_log_task_volume_m3,coverage_per_median_volume,mean_radius,mean_effective_alpha,rolling_coverage_mae_100,longest_miss_streak
same_environment,same_environment:OV_V2_02_medium,V2,OV_V2_01_easy,OV_V2_03_difficult,OV_V2_02_medium,empirical_full_6d,AgACI-EWA,exponential_weights,0.4,0.6,1755,2249,0.6305024455313473,0.03050244553134729,-15.092062907400036,-14.58552067067726,-3.8797541562417734,-3.626483037880386,2259885.4012081777,4.584125259012668,0.7528377648051414,0.05147906976744202,36
same_environment,same_environment:OV_V2_02_medium,V2,OV_V2_01_easy,OV_V2_03_difficult,OV_V2_02_medium,empirical_full_6d,ACI,none,0.5,0.5,1755,2249,0.5171187194308582,0.017118719430858187,-15.127133287363156,-14.59355839985066,-3.8972893462233333,-3.6305019024670857,1919644.3412685865,4.564490092006198,0.7559848821698535,0.09828837209302334,56
same_environment,same_environment:OV_V2_02_medium,V2,OV_V2_01_easy,OV_V2_03_difficult,OV_V2_02_medium,empirical_full_6d,AgACI-EWA,exponential_weights,0.5,0.5,1755,2249,0.49533125833703867,0.004668741662961329,-15.165255469647832,-14.673949552145489,-3.9163504373656712,-3.6706974786145006,1910216.1060967937,4.514764694333302,0.7615257461030795,0.05327441860465121,44
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,ACI,none,0.01,0.99,2070,1755,0.992022792022792,0.002022792022791986,-0.735485576523228,-0.5169320248378358,5.429349284378606,5.433662738502772,2.069850495745517,65.45788908675831,0.07582535612535675,0.017004830917874785,7
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,AgACI-EWA,exponential_weights,0.01,0.99,2070,1755,0.9971509971509972,0.007150997150997207,-1.2076916972718905,-0.9511707202158988,5.225892821399947,5.21654339081374,3.336220662991057,62.11744764837034,0.17110037241820356,0.011618357487923092,2
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,ACI,none,0.05,0.95,2070,1755,0.9629629629629629,0.012962962962962954,-2.4431777509215102,-2.0155274799076497,4.617486098822825,4.684365010967865,11.083277301737716,51.342112002130825,0.36348575498574653,0.07109903381642547,47
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,AgACI-EWA,exponential_weights,0.05,0.95,2070,1755,0.9692307692307692,0.019230769230769273,-3.730022890701605,-3.4561618860382035,3.92738718870919,3.964047807902587,40.39759878547013,42.220202574969825,0.6187218928267594,0.04085144927536264,6
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,ACI,none,0.1,0.9,2070,1755,0.9179487179487179,0.017948717948717885,-3.377426746111759,-3.2552074054277864,4.148815394844982,4.064525048207796,26.891573732423357,42.63115586234645,0.574532763532764,0.1233937198067636,58
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,AgACI-EWA,exponential_weights,0.1,0.9,2070,1755,0.9162393162393162,0.01623931623931618,-4.713071606976158,-4.292285431905058,3.4455836002056017,3.54598603496916,102.06337264672163,37.50990276803604,0.7198991447837044,0.03509057971014518,6
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,ACI,none,0.2,0.8,2070,1755,0.8250712250712251,0.025071225071225056,-4.599907595971914,-4.185223575964214,3.5568544834637024,3.5995169629395822,82.07406185774003,36.73515957468523,0.7059430199430203,0.12305555555555578,81
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,AgACI-EWA,exponential_weights,0.2,0.8,2070,1755,0.8113960113960114,0.011396011396011319,-5.10069259433309,-5.3420534456813735,3.234951434004712,3.0211020280810024,133.17892840108286,33.07046505963544,0.7839157178878934,0.030036231884058108,7
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,ACI,none,0.4,0.6,2070,1755,0.6267806267806267,0.02678062678062676,-5.5583680338927195,-5.660154736336577,3.0940814366208205,2.862051382753401,162.58636813306924,29.77568793488638,0.8148376068376073,0.1172946859903383,92
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,AgACI-EWA,exponential_weights,0.4,0.6,2070,1755,0.5897435897435898,0.01025641025641022,-5.613916610581324,-6.470604143250305,2.9711249743480135,2.4568266792965363,161.71720802666823,27.492277780858917,0.833705857280423,0.07131038647342995,55
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,ACI,none,0.5,0.5,2070,1755,0.5230769230769231,0.023076923076923106,-5.790013979759436,-6.230375333958027,2.9562394831485257,2.576941083942676,171.0553578927005,27.488295686964683,0.8438490028490027,0.10341183574879236,118
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,openvins_full_6d,AgACI-EWA,exponential_weights,0.5,0.5,2070,1755,0.5048433048433049,0.004843304843304863,-6.08142591792485,-7.0181187563528065,2.8011232040749725,2.183069372745286,220.94608945231445,25.94723906503948,0.8485257457384402,0.0967934782608696,82
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,ACI,none,0.01,0.99,2070,1755,0.9846153846153847,0.005384615384615321,-11.734862701295535,-11.64948127874192,-3.213286833927709,-3.170596122650902,122928.54305434346,8.79641936534343,0.0430650712250717,0.020851449275362623,10
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,AgACI-EWA,exponential_weights,0.01,0.99,2070,1755,0.9863247863247864,0.0036752136752136177,-11.779307250434774,-11.734198663556727,-3.235509108497329,-3.212954815058305,128738.39386322086,8.67542322987057,0.08615259498475955,0.019064009661836103,11
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,ACI,none,0.05,0.95,2070,1755,0.9572649572649573,0.00726495726495735,-12.228631178118134,-12.167047893254049,-3.4601710723390084,-3.429379429906966,195820.97238723925,8.07701928223714,0.1909900284900286,0.06024758454106309,28
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,AgACI-EWA,exponential_weights,0.05,0.95,2070,1755,0.9475783475783476,0.002421652421652376,-12.88776846350448,-13.072739447011216,-3.789739715032182,-3.8822252067855496,374715.67103696393,7.0497740907253945,0.43258472218514055,0.052270531400966325,11
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,ACI,none,0.1,0.9,2070,1755,0.9145299145299145,0.014529914529914478,-12.617089612172094,-12.620642045340626,-3.654400289365989,-3.6561765059502545,275886.41270953487,7.4963487483186375,0.338811965811966,0.10900362318840598,54
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,AgACI-EWA,exponential_weights,0.1,0.9,2070,1755,0.9048433048433049,0.004843304843304863,-13.417329449294028,-13.68113513162409,-4.054520207926956,-4.186423049091986,607638.8302209323,6.428876162194285,0.5589916497294521,0.05868357487922718,14
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,ACI,none,0.2,0.8,2070,1755,0.8176638176638177,0.017663817663817638,-13.273369118650082,-13.536954602985587,-3.982540042604983,-4.114332784772734,475472.87348750106,6.503748974639036,0.5631179487179488,0.14758454106280208,62
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,AgACI-EWA,exponential_weights,0.2,0.8,2070,1755,0.815954415954416,0.015954415954415935,-13.945810057476487,-14.177246807233468,-4.318760512018185,-4.4344788868966765,929510.3946133774,5.943262492677307,0.6549340649945876,0.056835748792270706,16
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,ACI,none,0.4,0.6,2070,1755,0.6284900284900284,0.028490028490028463,-14.411127409311767,-14.381342091832284,-4.551419187935825,-4.536526529196083,1140174.9718421942,5.676948045035766,0.7195920227920228,0.15814009661835765,63
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,AgACI-EWA,exponential_weights,0.4,0.6,2070,1755,0.6649572649572649,0.06495726495726495,-14.563358104116238,-14.60111962424668,-4.627534535338061,-4.646415295403281,1404687.7590534072,5.556117669412863,0.7235864399860438,0.08746376811594223,21
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,ACI,none,0.5,0.5,2070,1755,0.5373219373219373,0.03732193732193734,-14.679048887409795,-14.663835555422178,-4.685379926984839,-4.67777326099103,1274278.933373796,5.41232438681943,0.7668091168091168,0.16792874396135277,77
same_environment,same_environment:OV_V2_03_difficult,V2,OV_V2_02_medium,OV_V2_01_easy,OV_V2_03_difficult,empirical_full_6d,AgACI-EWA,exponential_weights,0.5,0.5,2070,1755,0.58005698005698,0.08005698005698003,-14.640109566115868,-14.717321155895773,-4.6659102663378755,-4.704516061227827,1323090.2108107756,5.446447452042382,0.7428800478520533,0.10069444444444459,40
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,ACI,none,0.01,0.99,9132,2669,1.0,0.010000000000000009,-3.46333687581091,-3.039348612340636,4.417296901281112,4.31528953768918,31.92332314805154,37.16738592643561,0.1433999999999971,0.010000000000000453,0
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.01,0.99,9132,2669,1.0,0.010000000000000009,-4.261052394412886,-4.677653750703265,4.0121089391027525,3.4961369685078654,70.8845427112317,29.609731116969076,0.2866397006386577,0.010000000000000453,0
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,ACI,none,0.05,0.95,9132,2669,0.9707755713750469,0.02077557137504693,-4.495964867296848,-5.176347431927242,3.759338190574404,3.2467901278958773,87.03452669188097,26.511024955789093,0.31382652678905715,0.05185992217898861,14
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.05,0.95,9132,2669,0.9846384413638066,0.03463844136380667,-5.480795119901025,-6.353734374037471,3.1072066222340613,2.6580966568407627,236.35014012291765,22.61227001292341,0.4271620275177401,0.03566536964980588,2
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,ACI,none,0.1,0.9,9132,2669,0.9213188460097415,0.021318846009741432,-5.007376152075135,-6.183514737063334,3.0793849175119306,2.7432064753278316,137.74815372898115,22.833727658266653,0.40707980517047604,0.08864591439688738,26
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.1,0.9,9132,2669,0.9584113900337204,0.05841139003372042,-5.8545613335531606,-6.65422285196243,3.0007441431199338,2.5078524178782833,334.31483417667147,21.474083034974228,0.4514476312931707,0.06132684824902766,5
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,ACI,none,0.2,0.8,9132,2669,0.8205320344698389,0.020532034469838867,-5.795944105483876,-6.746338060094951,2.8918022979011786,2.4617948138120225,269.92436196734235,21.00594472971296,0.45819857624578514,0.09681322957198459,31
pooled_same_robot,pooled_same_robot:OV_MH_01_easy,MH,OV_MH_02_easy|OV_MH_03_medium|OV_V1_01_easy|OV_V2_01_easy,OV_MH_04_difficult|OV_MH_05_difficult|OV_V1_02_medium|OV_V1_03_difficult|OV_V2_02_medium|OV_V2_03_difficult,OV_MH_01_easy,openvins_full_6d,AgACI-EWA,exponential_weights,0.2,0.8,9132,2669,0.8729861371300113,0.07298613713001123,-5.973300725581783,-6.912907935346549,2.9248457885774286,2.378509876186223,342.9090057929023,20.682643098589093,0.47149314599792247,0.07834630350194584,4
