protocol,covariance_input,method,alpha,target_coverage,coverage_mean,coverage_std,absolute_coverage_gap_mean,median_log_6d_volume_mean,median_log_task_volume_m3_mean,rolling_coverage_mae_100_mean,longest_miss_streak_mean,folds,coverage_pooled
same_environment,empirical_full_6d,ACI,0.2,0.8,0.6859049325526478,0.28891156511121213,0.16473769785777703,-12.606931503955689,-2.7801452371707147,0.2333039048378893,322.27272727272725,11,0.6638204225352112
same_environment,empirical_full_6d,ACI,0.4,0.6,0.5383450996651294,0.25194026191929947,0.15355990469430017,-12.944400627737451,-2.9488797990615954,0.23685159306802453,340.45454545454544,11,0.5208626760563381
same_environment,empirical_full_6d,ACI,0.5,0.5,0.46408240891441677,0.2417289208382313,0.14870202750437606,-13.04302765838756,-2.99819331438665,0.23432589388508507,348.6363636363636,11,0.4488556338028169
same_environment,empirical_full_6d,AgACI-EWA,0.01,0.99,0.8297118248990583,0.33750245113469196,0.17063135792967374,-11.07339850309263,-2.0133787367391847,0.17465391846348458,296.0,11,0.8035651408450705
same_environment,empirical_full_6d,AgACI-EWA,0.05,0.95,0.8127550118368809,0.3307947241693042,0.17508832882136072,-12.39954965400226,-2.6764543121939997,0.19089875205436133,297.90909090909093,11,0.7869718309859155
same_environment,empirical_full_6d,AgACI-EWA,0.1,0.9,0.785717784702982,0.32042807261843226,0.17862577548761582,-12.605646353607106,-2.779502661996422,0.1991684115808667,299.90909090909093,11,0.7609595070422536
same_environment,empirical_full_6d,AgACI-EWA,0.2,0.8,0.7233885046068838,0.3021538232697276,0.18512153620846938,-12.756693684776916,-2.855026327581327,0.20559646530612274,304.09090909090907,11,0.700044014084507
same_environment,empirical_full_6d,AgACI-EWA,0.4,0.6,0.5653550953470229,0.2578444737349027,0.16401393566410383,-12.944095153518896,-2.9487270619523183,0.19283652808566726,313.09090909090907,11,0.545906690140845
same_environment,empirical_full_6d,AgACI-EWA,0.5,0.5,0.474602585024958,0.23921030223190962,0.14024022606819783,-13.020296147985613,-2.9868275591856768,0.18376384502929854,319.45454545454544,11,0.4578785211267606
same_environment,openvins_full_6d,ACI,0.01,0.99,0.8857432479839151,0.2684764288431384,0.11139383961022306,-3.4580679035682067,4.035794151342831,0.12073289356265038,71.63636363636364,11,0.8533450704225352
same_environment,openvins_full_6d,ACI,0.05,0.95,0.8527369374112737,0.2603228037354485,0.12236051862006461,-4.707204031174646,3.3782401322563658,0.1596735119217284,85.0,11,0.819718309859155
same_environment,openvins_full_6d,ACI,0.1,0.9,0.8055163331321823,0.24710926256471727,0.12189875477709783,-5.537406772716271,2.9907506376537523,0.19455446601094772,94.45454545454545,11,0.7737235915492958
same_environment,openvins_full_6d,ACI,0.2,0.8,0.719021910723741,0.21971586623470013,0.11041352910595979,-6.354171041793253,2.596194651448759,0.20875923765272345,106.54545454545455,11,0.690536971830986
same_environment,openvins_full_6d,ACI,0.4,0.6,0.545862669278585,0.1654959482794031,0.07971169785472079,-6.889848668790441,2.3259895470980907,0.1912406195064314,132.0,11,0.5247359154929577
same_environment,openvins_full_6d,ACI,0.5,0.5,0.4581729025980145,0.13660395077788773,0.06384752404905797,-7.065806458633088,2.23932331407219,0.17263690178064914,144.45454545454547,11,0.44124119718309857
same_environment,openvins_full_6d,AgACI-EWA,0.01,0.99,0.8824760279190873,0.2685350586575416,0.11752702004808765,-4.1557020645126705,3.6814708495842443,0.12487732258903077,70.72727272727273,11,0.8496919014084507
same_environment,openvins_full_6d,AgACI-EWA,0.05,0.95,0.8486642091343474,0.26018477100590814,0.1243361006958414,-5.9706582241753665,2.7912705186290596,0.1485949938931004,73.9090909090909,11,0.8165933098591549
same_environment,openvins_full_6d,AgACI-EWA,0.1,0.9,0.8083044093417033,0.24739001057790116,0.11686622338439494,-6.447695005850078,2.518707542133535,0.14670770166214014,79.54545454545455,11,0.7775528169014084
same_environment,openvins_full_6d,AgACI-EWA,0.2,0.8,0.738457003136653,0.2270317795903346,0.1081089645471129,-6.693026330427312,2.381915668680254,0.1462996924285099,83.18181818181819,11,0.710343309859155
same_environment,openvins_full_6d,AgACI-EWA,0.4,0.6,0.5478935818474192,0.1779645320129183,0.10054367631670959,-7.024400238332496,2.2510671684948593,0.15543023068869188,128.8181818181818,11,0.5256161971830986
same_environment,openvins_full_6d,AgACI-EWA,0.5,0.5,0.4420249590738876,0.14317644465525217,0.07688485542012252,-7.124779076746435,2.2060787358342018,0.14691045486545418,151.9090909090909,11,0.42482394366197185
