protocol,covariance_input,method,alpha,target_coverage,coverage_mean,coverage_std,absolute_coverage_gap_mean,median_log_6d_volume_mean,median_log_task_volume_m3_mean,rolling_coverage_mae_100_mean,longest_miss_streak_mean,folds,coverage_pooled,task_volume_m3
pooled_same_robot,openvins_full_6d,ACI,0.5,0.5,0.49730311031638424,0.015354364815207844,0.012963639407971543,-6.787652344305266,2.354935880426055,0.10943915218302097,83.36363636363636,11,0.4965669014084507,10.53745318302503
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.01,0.99,0.984840428036184,0.0435834679454474,0.019629785020662916,-3.8652213047974415,3.943540423887254,0.022561782475634572,1.6363636363636365,11,0.9808098591549296,51.600967581298136
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.05,0.95,0.9513912137116504,0.04532025107534387,0.025425346614962954,-5.526016483184201,3.0348755871405118,0.04383990530284481,8.363636363636363,11,0.9478873239436619,20.79839015131298
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.1,0.9,0.9097616035449282,0.04399129921853212,0.030416041494266407,-5.944399367875295,2.82955968524753,0.05725080881871099,11.909090909090908,11,0.9068661971830986,16.93800113057974
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.2,0.8,0.8275958808893812,0.038807474397177175,0.039945541576070734,-6.292998496793775,2.646963453906292,0.08111806624627356,26.545454545454547,11,0.8257922535211267,14.111124443068283
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.4,0.6,0.6208737927623514,0.04095685492401049,0.03782605299928418,-6.66197275472393,2.4561269746086043,0.09164976532950822,46.54545454545455,11,0.6169894366197183,11.659566182452194
pooled_same_robot,openvins_full_6d,AgACI-EWA,0.5,0.5,0.49589863086587543,0.04423716460380201,0.022553498609556057,-6.80596406802692,2.3704018489252365,0.09742517712798363,75.63636363636364,11,0.4922975352112676,10.701691883540102
same_environment,openvins_full_6d,ACI,0.01,0.99,0.8857432479839151,0.2684764288431384,0.11139383961022306,-3.4580679035682067,4.035794151342831,0.12073289356265038,71.63636363636364,11,0.8533450704225352,56.58784170922013
same_environment,openvins_full_6d,ACI,0.05,0.95,0.8527369374112737,0.2603228037354485,0.12236051862006461,-4.707204031174646,3.3782401322563658,0.1596735119217284,85.0,11,0.819718309859155,29.31912789654599
same_environment,openvins_full_6d,ACI,0.1,0.9,0.8055163331321823,0.24710926256471727,0.12189875477709783,-5.537406772716271,2.9907506376537523,0.19455446601094772,94.45454545454545,11,0.7737235915492958,19.900615037377882
same_environment,openvins_full_6d,ACI,0.2,0.8,0.719021910723741,0.21971586623470013,0.11041352910595979,-6.354171041793253,2.596194651448759,0.20875923765272345,106.54545454545455,11,0.690536971830986,13.41260117746729
same_environment,openvins_full_6d,ACI,0.4,0.6,0.545862669278585,0.1654959482794031,0.07971169785472079,-6.889848668790441,2.3259895470980907,0.1912406195064314,132.0,11,0.5247359154929577,10.236804876045216
same_environment,openvins_full_6d,ACI,0.5,0.5,0.4581729025980145,0.13660395077788773,0.06384752404905797,-7.065806458633088,2.23932331407219,0.17263690178064914,144.45454545454547,11,0.44124119718309857,9.386977102481554
same_environment,openvins_full_6d,AgACI-EWA,0.01,0.99,0.8824760279190873,0.2685350586575416,0.11752702004808765,-4.1557020645126705,3.6814708495842443,0.12487732258903077,70.72727272727273,11,0.8496919014084507,39.70475086131951
same_environment,openvins_full_6d,AgACI-EWA,0.05,0.95,0.8486642091343474,0.26018477100590814,0.1243361006958414,-5.9706582241753665,2.7912705186290596,0.1485949938931004,73.9090909090909,11,0.8165933098591549,16.30171828686781
same_environment,openvins_full_6d,AgACI-EWA,0.1,0.9,0.8083044093417033,0.24739001057790116,0.11686622338439494,-6.447695005850078,2.518707542133535,0.14670770166214014,79.54545454545455,11,0.7775528169014084,12.412543602237935
same_environment,openvins_full_6d,AgACI-EWA,0.2,0.8,0.738457003136653,0.2270317795903346,0.1081089645471129,-6.693026330427312,2.381915668680254,0.1462996924285099,83.18181818181819,11,0.710343309859155,10.825621316450151
same_environment,openvins_full_6d,AgACI-EWA,0.4,0.6,0.5478935818474192,0.1779645320129183,0.10054367631670959,-7.024400238332496,2.2510671684948593,0.15543023068869188,128.8181818181818,11,0.5256161971830986,9.497866253600279
same_environment,openvins_full_6d,AgACI-EWA,0.5,0.5,0.4420249590738876,0.14317644465525217,0.07688485542012252,-7.124779076746435,2.2060787358342018,0.14691045486545418,151.9090909090909,11,0.42482394366197185,9.080041252540388
