protocol,fold_id,test_environment,test_trajectory,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,n_test,coverage,absolute_coverage_gap,median_log_task_volume_m3,p90_log_task_volume_m3,mean_log_task_volume_m3,mean_radius,rolling_coverage_mae_100,longest_miss_streak
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25,loglinear_covariance,ACI,calibration_only,0.1,0.9,2245,0.933184855233853,0.03318485523385295,-0.11735974548846251,1.6360712746667507,-0.03899866605178813,9.709655606796261,0.09765144454799649,17
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9126948775055679,0.012694877505567859,-1.171778770803419,0.8227179248963516,-1.0940354407784898,6.947014764444011,0.032534948741845475,3
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2245,0.9296213808463252,0.02962138084632515,-0.02590161216683029,1.7029577723673384,-0.014448847692894975,9.873032695936573,0.09859739049394245,16
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2245,0.911804008908686,0.011804008908685937,-1.1719575766514483,0.8233583002639283,-1.0897363849067199,7.003281649542524,0.03137465051258174,3
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25_fit_bias,constant,ACI,calibration_only,0.1,0.9,2245,0.9229398663697105,0.02293986636971046,0.05338847287266191,1.1993124978899055,0.05048436740320053,9.714148529171606,0.10171947809878865,19
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9091314031180401,0.00913140311804006,-0.8472379856082863,0.9093194412792283,-0.7612899082446434,7.670050940272328,0.02826654240447351,8
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,2245,0.9278396436525612,0.027839643652561197,0.18538446029795708,1.8640145696098795,0.2712121578570874,10.667440436538785,0.10675675675675701,32
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9082405345211582,0.008240534521158138,-0.9603644531265694,0.9830046042936087,-0.812483024107731,7.527101697050223,0.029534016775396188,5
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2245,0.9260579064587974,0.026057906458797353,0.3407472564325005,1.925828913286622,0.36234817015904175,11.072908735370353,0.10449207828518198,34
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.25_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9091314031180401,0.00913140311804006,-0.8972825050138207,1.0383652565613302,-0.7537155517924959,7.6983186076246515,0.03008853681267486,4
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50,constant,ACI,calibration_only,0.1,0.9,2245,0.9220489977728286,0.022048997772828538,-0.009475174826510724,1.0843511731554227,-0.10805887605008459,9.075834877713723,0.08382106244175225,16
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50,constant,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9095768374164811,0.009576837416481077,-0.9808573136673804,0.8795916272658704,-1.0412697243939673,7.049863719873927,0.033233923578751295,8
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50,loglinear_covariance,ACI,calibration_only,0.1,0.9,2245,0.9300668151447662,0.030066815144766168,-0.43467527981809795,1.4318940159993758,-0.3431557281170838,8.830275962889344,0.1009739049394224,16
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9167037861915367,0.016703786191536674,-1.5103398003654434,0.6219272106163848,-1.3666473691996812,6.327232209404249,0.035489282385834306,2
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2245,0.9273942093541203,0.02739420935412029,-0.2388249359225405,1.4356964218671975,-0.2986814073034194,9.01812205019278,0.10010717614165915,17
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2245,0.910913140311804,0.010913140311804015,-1.4807650501316836,0.7196708582511635,-1.3619256166802785,6.37103914653962,0.03146784715750252,3
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50_fit_bias,constant,ACI,calibration_only,0.1,0.9,2245,0.9220489977728286,0.022048997772828538,-0.21184348141557585,1.080058574303783,-0.22245329536449876,8.815760346251446,0.10113699906803374,20
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9073496659242761,0.007349665924276105,-1.1621017963719567,0.6191125210278405,-1.0321931796350765,6.9726917682870635,0.028970177073625425,8
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,2245,0.9238307349665924,0.023830734966592382,-0.014203466519480124,1.7944581814749954,-0.012749336209105181,9.965154696887675,0.10142124883504217,18
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9082405345211582,0.008240534521158138,-1.2379444343447767,0.4646265147337303,-1.0751482701661972,6.822805513286309,0.030368126747437205,6
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,2245,0.9238307349665924,0.023830734966592382,0.018306915036534477,1.7996018708768948,0.012009030276098346,10.066532087796096,0.1017101584342966,22
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.50_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9073496659242761,0.007349665924276105,-1.230810866777028,0.4877517516533398,-1.0698670712175236,6.850474223686173,0.031696178937558356,8
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75,constant,ACI,calibration_only,0.1,0.9,2245,0.9211581291759465,0.021158129175946505,-0.06680482763134066,1.0625168289764988,-0.1674045318881226,8.842236857912596,0.07832246039142605,16
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75,constant,AgACI-EWA,calibration_only,0.1,0.9,2245,0.9091314031180401,0.00913140311804006,-0.984670939951731,0.9121653779810927,-1.0699054727751725,6.924597694159769,0.033131407269338435,8
pooled_same_robot,pooled_same_robot:OV_MH_03_medium,MH,OV_MH_03_medium,correlation_shrink_0.75,loglinear_covariance,ACI,calibration_only,0.1,0.9,2245,0.9269487750556793,0.026948775055679275,-0.33302709475215764,1.2705907130989655,-0.38236191777841233,8.687974106992632,0.10377446411929192,21
