covariance_strategy,score_scale,method,feedback,alpha,pooled_coverage,cross_environment_coverage,worst_coverage,pooled_minimum_trajectory_coverage,cross_minimum_trajectory_coverage,worst_trajectory_coverage,pooled_volume_m3,cross_environment_volume_m3,worst_volume_m3,pooled_p90_volume_m3,cross_environment_p90_volume_m3,worst_rolling_mae,coverage_valid_1pct
normalized_empirical_blend_0.25,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9370158450704226,0.7858274647887324,0.7858274647887324,0.8765227021040974,0.1879321181646763,0.1879321181646763,0.03291566018837955,0.03448562206432383,0.03448562206432383,0.10095504534043868,0.07615892040172177,0.19730924673490868,False
normalized_empirical_blend_0.50,constant,AgACI-EWA,calibration_only,0.1,0.9332306338028169,0.8651408450704225,0.8651408450704225,0.7984496124031008,0.4739756367663344,0.4739756367663344,0.0333442584538184,0.039411972119717815,0.039411972119717815,0.09190903277032132,0.09204670103087348,0.12786483449037453,False
normalized_empirical_blend_0.25,constant,AgACI-EWA,calibration_only,0.1,0.9396566901408451,0.8438820422535211,0.8438820422535211,0.8333333333333334,0.41357636706473916,0.41357636706473916,0.03239472002747598,0.039562204832948374,0.039562204832948374,0.09639156197022355,0.08921271609896629,0.1479677093981521,False
normalized_empirical_blend_0.50,loglinear_covariance,ACI,calibration_only,0.1,0.9050616197183099,0.7369278169014084,0.7369278169014084,0.8377630121816169,0.16090509113764928,0.16090509113764928,0.04202574325921072,0.03689244069960225,0.04202574325921072,0.1206513569075296,0.10441890931767438,0.24084910835297527,False
normalized_empirical_blend_0.50,loglinear_covariance_time,ACI,calibration_only,0.1,0.9040052816901408,0.7320862676056338,0.7320862676056338,0.8388704318936877,0.16467630421118792,0.16467630421118792,0.04220593067724008,0.03831140124664262,0.04220593067724008,0.12379190688257997,0.10850332801556249,0.24222306638393898,False
normalized_empirical_blend_0.25,loglinear_covariance,ACI,calibration_only,0.1,0.9047095070422535,0.7601672535211268,0.7601672535211268,0.8394241417497231,0.16907605279698304,0.16907605279698304,0.04270692152866033,0.03903430978202908,0.04270692152866033,0.13090554691172943,0.1224123619584699,0.21896590671118998,False
normalized_empirical_blend_0.25,loglinear_covariance_time,ACI,calibration_only,0.1,0.9034330985915493,0.762544014084507,0.762544014084507,0.8377630121816169,0.17724701445631677,0.17724701445631677,0.04314431080903091,0.04076515207665377,0.04314431080903091,0.1351037934585277,0.1295258715165303,0.21698617826100153,False
normalized_empirical_blend_0.50,constant,AgACI-EWA,recent_300,0.1,0.8725792253521126,0.8637764084507042,0.8637764084507042,0.8062015503875969,0.8156146179401993,0.8062015503875969,0.03539171971088604,0.04384487677671009,0.04384487677671009,0.0958801135020933,0.12728685962390318,0.09335385380617063,False
normalized_empirical_blend_0.50,loglinear_covariance,AgACI-EWA,recent_300,0.1,0.8713028169014084,0.8654489436619718,0.8654489436619718,0.8361018826135105,0.8178294573643411,0.8178294573643411,0.0357561548501137,0.04414419687176802,0.04414419687176802,0.09568989620162795,0.12157720096194218,0.09326491230073772,False
normalized_empirical_blend_0.50,constant,AgACI-EWA,recent_100,0.1,0.8099031690140845,0.8044014084507042,0.8044014084507042,0.7259136212624585,0.7253599114064231,0.7253599114064231,0.03601441379913063,0.045037706260097274,0.045037706260097274,0.09971269202910207,0.12974652594630037,0.13643541570797277,False
