protocol,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,trajectory_mean_coverage,trajectory_std_coverage,minimum_trajectory_coverage,geometric_mean_median_volume_m3,geometric_mean_p90_volume_m3,rolling_coverage_mae_100,longest_miss_streak,folds,sample_pooled_coverage,coverage_shortfall
cross_environment,whitened_correlation,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9217204220867465,0.050245853595737425,0.7860310421286031,57.03724476151953,263.2759043651709,0.06919617920184058,10.818181818181818,11,0.9183098591549296,0.0
cross_environment,whitened_correlation,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9247748117114835,0.05003090086320179,0.7856614929785661,59.043930204221866,180.1174261593261,0.06573877911229593,9.909090909090908,11,0.9201584507042253,0.0
cross_environment,whitened_correlation,constant,AgACI-EWA,calibration_only,0.1,0.9,0.918066898551396,0.05778597491358473,0.7742054693274205,68.16019195207731,331.5057836913679,0.07233112458351443,12.909090909090908,11,0.911443661971831,0.0
cross_environment,raw_openvins_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9150397598947383,0.018432321044229413,0.8843304843304843,110.90271977081031,482.6241298220478,0.048535388964026545,11.0,11,0.9158010563380282,0.0
cross_environment,raw_openvins_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9164027146085002,0.019546795401209325,0.886039886039886,116.57945902364071,565.3142850645601,0.050715397424004334,12.181818181818182,11,0.9170774647887324,0.0
cross_environment,raw_openvins_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.9019052711129448,0.021584950834220757,0.8842263019857625,144.1007892461601,753.7394944821954,0.06478623538921566,16.545454545454547,11,0.9006602112676056,0.0
cross_environment,raw_openvins_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.9010249502220868,0.022129754481497503,0.8843304843304843,150.87367915413245,770.8363102644525,0.06732242033910117,15.727272727272727,11,0.8998239436619718,0.00017605633802819654
cross_environment,diagonal_openvins_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.9034115264604867,0.05077628563318027,0.7575757575757576,2.82253270834971,18.41360407759188,0.055505340966739494,25.727272727272727,11,0.8986355633802817,0.001364436619718301
cross_environment,diagonal_openvins_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.9032449615568655,0.053871106366559736,0.7490761271249076,2.8603760211726357,19.08535358740788,0.05711927849629517,25.636363636363637,11,0.8985915492957747,0.0014084507042253502
cross_environment,correlation_shrink_0.25_fit_bias,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.8983540828584927,0.06950429472762441,0.6975845410628019,5.036245272176436,28.87459174242685,0.06197818662024202,14.363636363636363,11,0.897887323943662,0.0021126760563380254
cross_environment,correlation_shrink_0.25_fit_bias,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.897683362978878,0.07152789459941876,0.6903381642512078,4.93588932440097,29.785622305511573,0.06339272428553268,15.181818181818182,11,0.8972711267605634,0.002728873239436602
cross_environment,standardized_correlation,constant,AgACI-EWA,calibration_only,0.1,0.9,0.9015639502301526,0.06694453799666934,0.7069475240206947,3.7168789536804137,15.71976582434521,0.05851062508173708,26.363636363636363,11,0.8951144366197183,0.004885563380281677
cross_environment,correlation_shrink_0.25,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.8938838031469768,0.058442238205500686,0.7260869565217392,4.381017998866879,39.200605336156976,0.08543288512143525,23.181818181818183,11,0.8933978873239437,0.006602112676056371
cross_environment,raw_openvins,constant,ACI,calibration_only,0.1,0.9,0.898284454630195,0.05295624944381811,0.7653362897265337,20.981874141021752,289.7260243512902,0.08753230491585856,18.818181818181817,11,0.8933978873239437,0.006602112676056371
cross_environment,correlation_shrink_0.75,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8938594073364695,0.044399493610324234,0.7797101449275362,1.505483466643906,12.916463627612892,0.05053338661592113,12.454545454545455,11,0.8929137323943662,0.0070862676056338
cross_environment,diagonal_openvins,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8938183329868307,0.04238884931657518,0.7855072463768116,1.477779060188042,12.836919976170613,0.0502837274041198,11.727272727272727,11,0.8928257042253521,0.007174295774647899
cross_environment,correlation_shrink_0.50,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8934809039027937,0.04577587405374945,0.7758454106280194,1.6682352006478498,13.251291804678488,0.052701999510619955,12.636363636363637,11,0.8922975352112676,0.007702464788732377
cross_environment,diagonal_openvins_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8931534138918112,0.040878870162384714,0.7956521739130434,2.531262154778525,15.76024771066116,0.0491249335106418,11.181818181818182,11,0.8919454225352113,0.00805457746478877
cross_environment,correlation_shrink_0.25,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8932521724764025,0.048104397306862515,0.7676328502415459,2.031011164889155,13.940178771720289,0.052904949458367476,12.727272727272727,11,0.8919014084507042,0.00809859154929582
cross_environment,correlation_shrink_0.50,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.8930011249139757,0.03876567903749332,0.8095238095238095,3.136694729973285,32.567685745255915,0.08468772628171023,20.181818181818183,11,0.891725352112676,0.008274647887324016
